10/28/2010|start||40479.9067661458|
10/28/2010|stop||40479.9077784606|
10/29/2010|start||40480.7258760185|
10/29/2010|stop||40480.728986169|
10/29/2010|start||40480.7298919444|
10/29/2010|stop||40480.7383519907|
10/29/2010|start||40480.7384742014|
10/29/2010|stop||40480.7407055093|
10/29/2010|start||40480.740793588|
10/29/2010|stop||40480.7408845833|
10/29/2010|start||40480.7502973611|
10/29/2010|stop||40480.7508147106|
10/30/2010|start||40481.3519007755|
10/30/2010|stop||40481.361395625|
10/31/2010|start||40482.3714968056|
10/31/2010|start||40482.3791655903|
10/31/2010|start||40482.3799653472|
10/31/2010|stop||40482.3846164815|
11/7/2010|start||40489.2664933449|
11/7/2010|stop||40489.2668067593|
11/7/2010|start||40489.2760087732|
11/7/2010|stop||40489.2808380556|
11/11/2010|start||40493.8427051505|
11/11/2010|stop||40493.8434149653|
11/11/2010|start||40493.8512141435|
11/11/2010|stop||40493.8547301968|
11/21/2010|start||40503.3366317245|
11/21/2010|stop||40503.336743125|
11/28/2010|start||40510.3484162153|
11/28/2010|stop||40510.3625338542|
12/5/2010|start||40517.2771549421|
12/5/2010|stop||40517.3038768866|
12/11/2010|start||40523.3294580903|
12/11/2010|stop||40523.3423150694|
12/18/2010|start||40530.3128132292|
12/18/2010|stop||40530.3145070255|
2/19/2011|start||40593.3336562963|
2/19/2011|stop||40593.3366730208|
2/26/2011|start||40600.2398257755|
2/26/2011|stop||40600.2485927546|
7/5/2011|start||40729.2695429282|
7/5/2011|stop||40729.2720651042|
7/5/2011|start||40729.8752206829|
7/5/2011|stop||40729.8792819444|
12/25/2011|start||40902.3656562731|
12/25/2011|stop||40902.3795172106|
12/31/2011|start||40908.5623596412|
12/31/2011|stop||40908.6016732523|
12/31/2011|start||40908.6076783449|
12/31/2011|stop||40908.6136129167|
12/31/2011|start||40908.6136782523|
12/31/2011|stop||40908.6149389583|
12/31/2011|start||40908.6170401157|
12/31/2011|stop||40908.6171237037|
1/1/2012|start||40909.3872841782|
1/1/2012|stop||40909.4040613773|
1/1/2012|start||40909.4122184722|
1/1/2012|stop||40909.4279111343|
1/1/2012|start||40909.4355545949|
1/1/2012|stop||40909.458303912|
1/2/2012|start||40910.3283095255|
1/2/2012|stop||40910.336107581|
1/4/2012|start||40912.7116251389|
1/4/2012|stop||40912.7140984954|
1/4/2012|start||40912.7143254398|
1/4/2012|stop||40912.7176536343|
1/20/2012|start||40928.2710460185|
1/20/2012|stop||40928.2717073495|
1/21/2012|start||40929.379606169|
1/21/2012|stop||40929.380241875|
2/11/2012|start||40950.2934718634|
2/11/2012|stop||40950.3210489468|
2/11/2012|start||40950.6606031597|
2/11/2012|stop||40950.672342581|
3/15/2012|start||40983.7725607639|
3/15/2012|stop||40983.7728161111|
3/25/2012|start||40993.4775138657|
3/25/2012|stop||40993.4873199884|
3/31/2012|start||40999.2980998148|
3/31/2012|stop||40999.2988301389|
4/2/2012|start||41001.7915370255|
4/2/2012|stop||41001.7942934722|
4/14/2012|start||41013.3161931019|
4/14/2012|start||41013.3179140394|
4/14/2012|stop||41013.3185099074|
4/14/2012|stop||41013.3206463773|
4/18/2012|start||41017.2732228356|
4/18/2012|stop||41017.2743220949|
4/18/2012|start||41017.7836835764|
4/18/2012|stop||41017.7844212963|
4/19/2012|start||41018.2764653241|
4/19/2012|stop||41018.2772230787|
4/21/2012|start||41020.3718853241|
4/21/2012|stop||41020.4270492708|
4/26/2012|start||41025.8635686806|
4/26/2012|stop||41025.8652208333|
7/2/2012|start||41092.4063772222|
7/2/2012|stop||41092.4087834144|
7/9/2012|start||41099.8719449306|
7/9/2012|stop||41099.8740670949|
7/10/2012|start||41100.8136994213|
7/10/2012|stop||41100.8137796643|
7/10/2012|start||41100.8147259144|
7/10/2012|stop||41100.8211443634|
7/10/2012|start||41100.8221995718|
7/10/2012|stop||41100.8230278704|
7/20/2012|start||41110.7758333912|
7/20/2012|stop||41110.775923669|
11/4/2012|start||41217.3353736921|
11/4/2012|stop||41217.3422270718|
12/6/2016|start||42710.5484340046|
12/6/2016|stop||42710.5598618634|
12/6/2016|start||42710.5601562037|
12/6/2016|template|thiruvanmiyur/v8|42710.5645499769|
12/6/2016|stop||42710.5676600347|
12/6/2016|start||42710.6821560417|
12/6/2016|template|vadaplani/v9|42710.6841342245|
12/6/2016|template|virugambakkam/v1|42710.6883631713|
12/6/2016|template|adambakkam/v1|42710.6891209144|
12/6/2016|stop||42710.7247125694|
12/6/2016|start||42710.7249677778|
12/6/2016|stop||42710.7265174074|
12/6/2016|start||42710.7402214236|
12/6/2016|stop||42710.7585211227|
12/6/2016|start||42710.7600253935|
12/6/2016|stop||42710.7601143171|
12/6/2016|start||42710.7608228819|
12/6/2016|stop||42710.7673639815|
12/6/2016|start||42710.9072794792|
12/6/2016|stop||42710.9200875463|
12/7/2016|start||42711.2884240857|
12/7/2016|start||42711.3508599074|
12/7/2016|stop||42711.3544735995|
12/7/2016|stop||42711.3546535648|
12/7/2016|start||42711.3547179514|
12/7/2016|stop||42711.3548066782|
12/7/2016|start||42711.3610439931|
12/7/2016|template|egas/v3|42711.3643154861|
12/7/2016|template|kashmir/v6|42711.3671466667|
12/7/2016|stop||42711.405581412|
12/21/2016|start||42725.3294147917|
12/21/2016|stop||42725.3330390162|
1/22/2017|start||42757.2365136921|
1/22/2017|stop||42757.2402630324|
1/28/2017|start||42763.3844088426|
1/28/2017|stop||42763.4009966435|
2/28/2017|start||42794.7401198611|
2/28/2017|start||42794.7663507523|
2/28/2017|stop||42794.7783403588|
